listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price
1292132,Land Rover Range Rover Velar 3.0A Si6 R-Dynamic Sunroof,land rover,range,"1 owner, no repairs needed! it looks great, inside and out. it offers good comfort for four adults and decent cargo space. call us for viewing now to avoid disappointment!",2018,,08-Mar-18,suv,parf car,auto,1884,280,,2995,2,34270,48011,2380,103323,96000,88906,132031,,,uncategorized,"3l supercharged v6 p380 engine at 375bhp/450nm torque, 8 speed zf, bsm, lane departure warning/lane keep assist, adaptive cruise control, hud.","2 x massage/memory/cooling & warmer seat, rear electric seat, panoramic roof, meridian surround, virtual cockpit, carplay, 360 cam, auto/kick tailgate",193788,
1294696,Mercedes-Benz C-Class C200 Sport Premium Sunroof,mercedes-benz,c200,"rare beautiful white c200 sport premium sunroof in the market. low mileage driven. most popular sedan in the market. in pristine condition. quiet and comfortable cabin to travel in top notch comfort, luxurious and superb efficient drive. smooth acceleration and powerful engine. easy and low cost maintenance. high loan financing available. high trade in offer. call now for a viewing appointment.",2017,,28-Dec-17,luxury sedan,"parf car, premium ad car",auto,1465,135,,1991,2,21170,47002,1202,45179,85680,40678,43950,,,uncategorized,"2.0l 4 cylinders inline turbocharged engine, paddle shifters, abs, esp, 8 x srs airbags, agility select, auto start/stop function, cruise control. view specs of the mercedes-benz c-class saloon","multi function steering, electric tailgate, reverse camera/sensors. keyless entry/start/stop, twin panoramic roofs with electric blinds.",96800,
1311717,Honda Odyssey 2.4A (COE till 09/2027),honda,odyssey,comes with warranty. full service done.,2007,,19-Sep-07,mpv,"coe car, premium ad car, low mileage car",auto,1648,118,,2354,3,12520,50355,2442,16003,138000,27994,30794,,,uncategorized,"2.4l k24a 4 cylinders inline dohc i-vtec, 5 speed auto, abs, 2 airbags, cruise control, auto headlight, knockdown rear seats. view specs of the honda odyssey","cruise control, touchscreen audio, reverse camera and sensor, multi function steering controls.",39800,
1310068,Toyota Corolla Altis 1.6A (COE till 12/2028),toyota,altis,0,2008,,15-Dec-08,mid-sized sedan,"coe car, premium ad car",auto,1195,80,,1598,3,10140,27571,1113,12184,160000,16084,16084,,,uncategorized,"super fuel efficient 1.6l 16 valves dohc vvt-i engine, smooth auto transmission with ect, dual srs airbags, abs. view specs of the toyota corolla altis","leather seats, pioneer dvd audio system with reverse sensors/camera, retractable side mirrors with indicators.",44800,
1325280,Lexus GS300 (COE till 06/2026),lexus,gs,"wear and tear done up. well maintained and regularly serviced. no expenses were spared by the meticulous owner. accident free. unit in superb condition, view to believe! workshop check/sta evaluation can be arranged. viewing available in our showroom. bank / in house loan available. contact us today! viewing by appointment.",2006,,22-Dec-06,luxury sedan,"coe car, premium ad car",auto,1660,183,,2995,6,13690,48479,3570,9138,183000,50414,55456,,,uncategorized,"powerful 3.0l v6 engine, 227bhp, 6 speed , keyless entry, start, srs airbags, abs, cruise control, climate control a/c, view specs of the lexus gs300",premium upholstery electric seats. memory seats. lexus entertainment system. rear aircon. ventilated seats. retractable side mirror,25800,
1322170,Honda S2000 2.0M (COE till 11/2028),honda,s2000,"excellent condition. ppi evaluation is welcomed. bank and in house loan available. trade in welcome. appointment based only, viewing available daily. call now.",2008,,06-Nov-08,sports car,"coe car, consignment car",manual,1270,177,,1997,6,40320,32121,1815,13614,176000,38328,38328,,,uncategorized,"2l f20c 4 cylinder inline 16 valve dohc vtec engine, 6 speed gearbox, 240bhp with 208 nm of torque. view specs of the honda s2000","new brake rotors, new michelin sports tires.",170888,
1223380,Lamborghini Huracan STO,lamborghini,huracan,15657,2022,,13-May-22,sports car,"parf car, rare & exotic, premium ad car, low mileage car",auto,1450,470,,5204,1,137430,87000,5834,483238,5400,327323,561182,,,uncategorized,"powered by a 5.2l v10 naturally aspirated engine mated to a 7 speed transmission, producing 630bhp and 565nm of torque. 0-100 km/h in 3s. rwd. view specs of the lamborghini huracan","20"" forged wheels, carbon ceramic brakes, aluminium and carbon fibre chassis, magneto rheological suspension, lifting system, sports seats.",1368000,
1324451,Hyundai Avante 1.6A (COE till 01/2025),hyundai,avante,"cheaper than renting car, drive until coe finish, road tax no need to pay till 25/01/25. we don't do gimmick, no hidden cost, no admin fee. no need to next inspection.",2009,,26-Jan-10,mid-sized sedan,"coe car, premium ad car",auto,1264,89,,1591,4,,16184,1107,1481,187000,11422,11422,,,uncategorized,"responsive and full efficient 4 cylinders 16 valve dohc vt engine, smooth 4 speed auto transmission, abs, srs air bags, spacious boot space. view specs of the hyundai avante","sports rim, leather seats, audio player, fog lamps, reverse sensors, remote key alarm, retractable side mirrors. balance 5.1/2 month life.",5350,
1297569,Mercedes-Benz C-Class C200 Avantgarde,mercedes-benz,c200,best-looking pearl-white c200  with nice black interior! ultra low mileage done 49930km! maintained at reputable workshop with history. 1 owner. just changed  pirelli tyres. nice/new car number. road tax till nov 24. 2.0l engine with ever-ready 181 bhp. 100% accident free. call now!,2017,,28-Nov-17,luxury sedan,"parf car, premium ad car, low mileage car",auto,1465,135,,1991,1,22520,49000,1202,49095,49930,41077,49508,,,uncategorized,"2.0l turbo-charged engine, 181 bhp, 9g-tronic , abs, airbags, isofix, cruise/traction control, rear air-con, auto headlights/wipers/tailgate. view specs of the mercedes-benz c-class saloon","electric/memory leather seats, sports rims, factory fitted audio system with reverse camera, all round sensors, solar film, black-sys in-car camera.",102500,
1319802,Mitsubishi Evolution 10 GSR SST (COE till 02/2029),mitsubishi,evolution,do not miss the opportunity to own this prestigious condition mitsubishi evolution x! this unit features a ton of tasteful aftermarket upgrades which includes a fully built motor paired with a built transmission! full records available! fully maintained at hks garage r! zero expenses spared! flexible finance schemes available! trade-ins are most welcome! contact us now to arrange a viewing appt!,2008,,05-Mar-09,sports car,"coe car, premium ad car",auto,1550,206,,1998,4,27450,31933,1815,14540,227124,44754,44754,,,uncategorized,this mitsubishi evolution 10 features a freshly built engine equipped with tomei/manley/gsc parts paired to a 6 speed dodson sst automatic gearbox! view specs of the mitsubishi lancer evolution x,"hks hi-power exhaust, hks gt extension, hks hipermax gt4, hks oil/sst cooler, pwr radiator, mhi18k turbo, radium tank, new transfer case, full records",125000,
