listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price,combined,bert_vector
1289213,Honda Civic 1.6A VTi (COE till 12/2027),honda,civic,"free polishing and detailing, three free servicing! high/full loan available! trade ins are welcomed! extended warranty packages are available! do call us today! viewing by appointment only!",2007.0,,17-jan-2008,mid-sized sedan,"coe car, premium ad car, low mileage car",auto,1220.0,92.0,,1595.0,6.0,16910.0,42698,1110.0,15137.0,136000.0,18919.0,20811.0,,,uncategorized,"fuel efficient and responsive 1.6l 4 cylinder inline 16 valves sohc i-vtec engine pushing 123 bhp, mated with 5 speed auto gearbox. view specs of the honda civic","sports rims, upgraded big brake kit, genuine mileage, reverse sensors, fog lamp.",,60000.0,"title: Honda Civic 1.6A VTi (COE till 12/2027) make: honda model: civic features: fuel efficient and responsive 1.6l 4 cylinder inline 16 valves sohc i-vtec engine pushing 123 bhp, mated with 5 speed auto gearbox. view specs of the honda civic accessories: sports rims, upgraded big brake kit, genuine mileage, reverse sensors, fog lamp.","[-0.31607443  0.02548564  0.7587285  ... -0.35534588 -0.69932437
  0.27368027]"
1310605,BMW i4 Gran Coupe Electric eDrive35,bmw,i4,"bmw i4 powered electric gran coupe like new condition, 5 years/200k km warranty till dec /2028 and service inclusive 4yrs unlimited mileage till dec /2027. battery warranty 8 years/160k km, brand new condition, call now to view and test drive!",2023.0,,28-dec-2023,luxury sedan,"parf car, almost new car, low mileage car, electric cars",auto,1990.0,210.0,electric,,1.0,25740.0,125011,2147.0,129004.0,2000.0,58768.0,38660.0,,,uncategorized,"282bhp at top speed 190km/h, 0 to 100km/h in 6 secs, all wheel drive, battery capacity 67kwh. view specs of the bmw i4 gran coupe electric","hud, apple carplay or auto android with bluetooth, 360 surround view cameras, harman kardon sound system, contactless boot release.",,262800.0,"title: BMW i4 Gran Coupe Electric eDrive35 make: bmw model: i4 features: 282bhp at top speed 190km/h, 0 to 100km/h in 6 secs, all wheel drive, battery capacity 67kwh. view specs of the bmw i4 gran coupe electric accessories: hud, apple carplay or auto android with bluetooth, 360 surround view cameras, harman kardon sound system, contactless boot release.","[-0.36020774 -0.07530646  0.7210059  ... -0.4507523  -0.4426647
  0.01371367]"
1292920,Mercedes-Benz GLS-Class GLS400d AMG Line 4MATIC Premium,mercedes-benz,amg,"powerful and luxurious 7-seater s-class suv in the market, highest specifications, giant boot spaces with backseats dropped, spacious and comfortable, engine and gearbox still under warranty, flexible loan available, contact us now for a non obligation viewing now. strictly by appointment only.",2022.0,,06-jan-2023,suv,"parf car, consignment car, sgcarmart warranty cars",auto,2505.0,243.0,diesel,2925.0,1.0,44570.0,108006,3268.0,194953.0,52000.0,89365.0,136603.0,,,uncategorized,"9g-tronic 9 speed automatic transmission, speedtronic cruise control, eco start/stop function, and dynamic select with a choice of driving modes. view specs of the mercedes-benz gls-class diesel","keyless entry/start, sunroof, soft close, airmatic, carplay/android, 360 degree camera, adaptive cruise control, electric memory seats.",,450000.0,"title: Mercedes-Benz GLS-Class GLS400d AMG Line 4MATIC Premium make: mercedes-benz model: amg features: 9g-tronic 9 speed automatic transmission, speedtronic cruise control, eco start/stop function, and dynamic select with a choice of driving modes. view specs of the mercedes-benz gls-class diesel accessories: keyless entry/start, sunroof, soft close, airmatic, carplay/android, 360 degree camera, adaptive cruise control, electric memory seats.","[-0.30982065 -0.17215094  0.7573685  ... -0.5150392  -0.6193606
 -0.0442709 ]"
1310393,Volkswagen Golf 1.0A TSI Trendline,,golf,cheapest in singapore! 100% full loan available! phv loan lto are available! we are sgcarmart premium dealer for 10 consecutive year since 2014! buy with confidence! in house loan or bank loan available! fast and easy loan approval! all our vehicles has undergone a 120 points check before purchase! no worries! warranty provided! open daily!,2018.0,,06-aug-2018,hatchback,"parf car, premium ad car",auto,1257.0,81.0,,999.0,3.0,13130.0,32699,392.0,25182.0,,17008.0,17008.0,,,uncategorized,view specs of the volkswagen golf,,,61800.0,title: Volkswagen Golf 1.0A TSI Trendline make:  model: golf features: view specs of the volkswagen golf accessories: ,"[-0.26127103 -0.09329239  0.9507765  ... -0.90543604 -0.6893024
  0.02931023]"
1312074,Mercedes-Benz E-Class E200 NGT (COE till 05/2027),mercedes-benz,e200,"cheapest/lowest priced depreciation unit, comfort and safety all in one car. pristine condition with no modifications done. fully done up to showroom unit standard. new tyres. road tax till 2024 dec. no gimmicks. high loan available. engine/gearbox warranty coverage provided. cheapest in the market.",2006.0,,21-jun-2007,luxury sedan,"coe car, premium ad car, low mileage car",auto,1690.0,120.0,,1796.0,2.0,11400.0,52491,1461.0,15100.0,146208.0,57169.0,40019.0,,,uncategorized,factory fitted. view specs of the mercedes-benz e-class saloon,factory fitted.,,32800.0,title: Mercedes-Benz E-Class E200 NGT (COE till 05/2027) make: mercedes-benz model: e200 features: factory fitted. view specs of the mercedes-benz e-class saloon accessories: factory fitted.,"[-0.50753564  0.16286358  0.96123856 ... -0.72312194 -0.5366176
  0.37228507]"
1241686,Volkswagen Golf 1.4A TSI (COE till 09/2025),volkswagen,golf,"original condition. low interest rate financing and insurance can be arranged, call for viewing.",2010.0,,11-jan-2011,hatchback,coe car,auto,1241.0,90.0,,1390.0,2.0,18400.0,16570,868.0,4286.0,,22211.0,22211.0,,,uncategorized,practical hatchback in metallic white with black leather upholstery. view specs of the volkswagen golf,"alloy rims, multi function steering with paddle shift, 2 zone climate control and factory fitted audio system.",,23800.0,"title: Volkswagen Golf 1.4A TSI (COE till 09/2025) make: volkswagen model: golf features: practical hatchback in metallic white with black leather upholstery. view specs of the volkswagen golf accessories: alloy rims, multi function steering with paddle shift, 2 zone climate control and factory fitted audio system.","[-0.22087023 -0.1490557   0.7586065  ... -0.57627326 -0.6467495
 -0.05431026]"
1280239,Mazda 3 1.5A Deluxe Sunroof,mazda,3,"1 owner, well maintained by previous owner! full loan with high trade in available. price negotiable. call now or visit our showroom today.",2017.0,,17-feb-2017,mid-sized sedan,parf car,auto,1331.0,88.0,,1496.0,1.0,15130.0,48401,682.0,21745.0,102151.0,19672.0,14672.0,,,uncategorized,"1.5l 4 cylinders inline skyactive-g engine, 6 speed , 114bhp/150nm, 0-100km/h in 11.7s, fuel consumption 17.5 km/l. fwd, keyless entry/start/stop. view specs of the mazda 3 sedan","sports rims, sunroof, electrical leather seats, led headlights, bluetooth media player with navi, hud, multi function steering, reverse camera/sensor.",,47800.0,"title: Mazda 3 1.5A Deluxe Sunroof make: mazda model: 3 features: 1.5l 4 cylinders inline skyactive-g engine, 6 speed , 114bhp/150nm, 0-100km/h in 11.7s, fuel consumption 17.5 km/l. fwd, keyless entry/start/stop. view specs of the mazda 3 sedan accessories: sports rims, sunroof, electrical leather seats, led headlights, bluetooth media player with navi, hud, multi function steering, reverse camera/sensor.","[-0.1975922  -0.13907997  0.5690719  ... -0.35384133 -0.6157345
  0.10070572]"
1311224,Honda Civic 1.5A VTEC Turbo Sunroof,,civic,"full loan available! low interest rate per annum! hassle free! fast approval, accident free, 1 year warranty, with servicing record! undergone safety check by our in house mechanics peace of mind! high trade in, must view! reliable! please call or whatsapp us now for an viewing appointment today before it's gone! kindly whatsapp or call our friendly sales consultant for more information.",2018.0,,11-jan-2019,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,1324.0,127.0,,1498.0,2.0,17430.0,30851,684.0,34304.0,64000.0,26594.0,29232.0,,,uncategorized,view specs of the honda civic,bbk brembo brake 4 pot kit and sports rims.,,92950.0,title: Honda Civic 1.5A VTEC Turbo Sunroof make:  model: civic features: view specs of the honda civic accessories: bbk brembo brake 4 pot kit and sports rims.,"[-0.23020622 -0.06000427  0.43193504 ... -0.6950014  -0.6644157
 -0.13594697]"
1255907,Citroen C4 Cactus 1.2A PureTech,citroen,c4,well maintained unit up for sale! excellent condition interior view to appreciate. call us to view this unit now. strictly via appointment only. 100% loan/trade-in available.,2017.0,,28-dec-2017,suv,"parf car, premium ad car",auto,1050.0,81.0,,1199.0,2.0,12520.0,38200,508.0,16751.0,146146.0,18278.0,5000.0,,,uncategorized,"1.2l turbo charged puretech engine, 5speed automatic with paddle shifters, eco start/stop, traction control, all round curtain airbag, cruise control. view specs of the citroen c4 cactus","factory fitted audio and navigation systems, sports rims, auto headlight and wipers, led day running lights, factory fitted reverse camera and sensors",,46800.0,"title: Citroen C4 Cactus 1.2A PureTech make: citroen model: c4 features: 1.2l turbo charged puretech engine, 5speed automatic with paddle shifters, eco start/stop, traction control, all round curtain airbag, cruise control. view specs of the citroen c4 cactus accessories: factory fitted audio and navigation systems, sports rims, auto headlight and wipers, led day running lights, factory fitted reverse camera and sensors","[-0.2973081   0.06213618  0.6951312  ... -0.4739435  -0.5455269
 -0.20984039]"
1331982,Audi R8 4.2A FSI Quattro R-tronic (COE till 06/2031),audi,r8,"lowest priced r8 in the market! 24/7 shelter parked, all wear and tear replaced. interior and exterior in perfect condition. view to believe. car in almost perfect condition. no expenses spared. 100% accident free. backed up by reputable workshop. option to buy with warranty, ppi welcome. different type of finance available. trade in welcome!",2011.0,,14-jul-2011,sports car,"coe car, premium ad car",auto,1565.0,316.0,,4163.0,6.0,30160.0,53932,5888.0,36836.0,,147728.0,147728.0,,,uncategorized,"v8 4.2l producing 423bhp with 430nm of torque. 6 speed r-tronic gearbox quattro system, all wheel drive! abs and driveline traction control. view specs of the audi r8 coupe","multi function steering wheel, paddle shifters, cruise control, reverse camera, bluetooth, electric folding side mirrors, auto head lights.",,206000.0,"title: Audi R8 4.2A FSI Quattro R-tronic (COE till 06/2031) make: audi model: r8 features: v8 4.2l producing 423bhp with 430nm of torque. 6 speed r-tronic gearbox quattro system, all wheel drive! abs and driveline traction control. view specs of the audi r8 coupe accessories: multi function steering wheel, paddle shifters, cruise control, reverse camera, bluetooth, electric folding side mirrors, auto head lights.","[-0.31655306 -0.04139624  0.8317279  ... -0.4816174  -0.5576212
  0.2638838 ]"
